행정구역,국가/지역,위도,경도,날짜,확진자,사망자,회복자
안후이성,중국,31.8257,117.2264,2020-01-22,1,0,0
베이징시,중국,40.1824,116.4142,2020-01-22,14,0,0
충칭시,중국,30.0572,107.874,2020-01-22,6,0,0
푸젠성,중국,26.0789,117.9874,2020-01-22,1,0,0
간쑤성,중국,36.0611,103.8343,2020-01-22,0,0,0
광둥성,중국,23.3417,113.4244,2020-01-22,26,0,0
광시 좡족 자치구,중국,23.8298,108.7881,2020-01-22,2,0,0
구이저우성,중국,26.8154,106.8748,2020-01-22,1,0,0
하이난성,중국,19.1959,109.7453,2020-01-22,4,0,0
허베이성,중국,38.0428,114.5149,2020-01-22,1,0,0
헤이룽장성,중국,47.861999999999995,127.7615,2020-01-22,0,0,0
허난성,중국,33.882020000000004,113.61399999999999,2020-01-22,5,0,0
후베이성,중국,30.9756,112.2707,2020-01-22,444,17,28
후난성,중국,27.6104,111.7088,2020-01-22,4,0,0
내몽골 자치구,중국,44.0935,113.9448,2020-01-22,0,0,0
장쑤성,중국,32.9711,119.455,2020-01-22,1,0,0
장시성,중국,27.614,115.7221,2020-01-22,2,0,0
지린성,중국,43.6661,126.1923,2020-01-22,0,0,0
랴오닝성,중국,41.2956,122.6085,2020-01-22,2,0,0
닝샤 후이족 자치구,중국,37.2692,106.1655,2020-01-22,1,0,0
칭하이성,중국,35.7452,95.9956,2020-01-22,0,0,0
산시성,중국,35.1917,108.8701,2020-01-22,0,0,0
산둥성,중국,36.3427,118.1498,2020-01-22,2,0,0
상하이시,중국,31.201999999999998,121.4491,2020-01-22,9,0,0
산시성,중국,37.5777,112.2922,2020-01-22,1,0,0
쓰촨성,중국,30.6171,102.7103,2020-01-22,5,0,0
톈진시,중국,39.3054,117.323,2020-01-22,4,0,0
티베트 자치구,중국,31.6927,88.0924,2020-01-22,0,0,0
신장 위구르 자치구,중국,41.1129,85.2401,2020-01-22,0,0,0
윈난성,중국,24.974,101.48700000000001,2020-01-22,1,0,0
저장성,중국,29.1832,120.0934,2020-01-22,10,0,0
NA,태국,15.0,101.0,2020-01-22,2,0,0
NA,일본,36.0,138.0,2020-01-22,2,0,0
NA,대한민국,36.0,128.0,2020-01-22,1,0,0
대만,대만,23.7,121.0,2020-01-22,1,0,0
"King County, WA",미국,47.6062,-122.3321,2020-01-22,1,0,0
"Cook County, IL",미국,41.7377,-87.6976,2020-01-22,0,0,0
"템피, 아리조나",미국,33.4255,-111.94,2020-01-22,0,0,0
마카오,마카오,22.1667,113.55,2020-01-22,1,0,0
홍콩,홍콩,22.3,114.2,2020-01-22,0,0,0
NA,싱가포르,1.2833,103.8333,2020-01-22,0,0,0
NA,베트남,16.0,108.0,2020-01-22,0,0,0
NA,프랑스,47.0,2.0,2020-01-22,0,0,0
NA,네팔,28.1667,84.25,2020-01-22,0,0,0
NA,말레이시아,2.5,112.5,2020-01-22,0,0,0
"토론토, ON",캐나다,43.6532,-79.3832,2020-01-22,0,0,0
브리티시컬럼비아 주,캐나다,49.2827,-123.1207,2020-01-22,0,0,0
"로스앤젤레스, CA",미국,34.0522,-118.2437,2020-01-22,0,0,0
뉴사우스웨일스,호주,-33.8688,151.2093,2020-01-22,0,0,0
빅토리아,호주,-37.8136,144.9631,2020-01-22,0,0,0
퀸즐랜드 주,호주,-28.0167,153.4,2020-01-22,0,0,0
NA,캄보디아,11.55,104.9167,2020-01-22,0,0,0
NA,일본,7.0,81.0,2020-01-22,0,0,0
NA,독일,51.0,9.0,2020-01-22,0,0,0
NA,핀란드,64.0,26.0,2020-01-22,0,0,0
NA,아랍에미리트,24.0,54.0,2020-01-22,0,0,0
NA,필리핀,13.0,122.0,2020-01-22,0,0,0
NA,인도,21.0,78.0,2020-01-22,0,0,0
"런던, ON",캐나다,42.9849,-81.2453,2020-01-22,0,0,0
NA,일본,43.0,12.0,2020-01-22,0,0,0
NA,영국,55.0,-3.0,2020-01-22,0,0,0
NA,러시아,60.0,90.0,2020-01-22,0,0,0
NA,스웨덴,63.0,16.0,2020-01-22,0,0,0
"샌타클래라, CA",미국,37.3541,-121.9552,2020-01-22,0,0,0
NA,스페인,40.0,-4.0,2020-01-22,0,0,0
사우스오스트레일리아,호주,-34.9285,138.6007,2020-01-22,0,0,0
